title,ingredients,notes,region,recipe
Pastel de Nata com Coco,"puff pastry, coconut milk, egg yolks, sugar,flour, cinnamon stick, lemon","gluten, lactose ",All regions,"Preheat the oven to 220°C. In a pot, mix the coconut milk, sugar, flour, cinnamon stick and lemon peel. Cook over low heat, stirring constantly until the mixture thickens. Remove from heat, let it cool and then add the egg yolks. Roll out the puff pastry and cut it into small circles. Place them in muffin tins, and then add the coconut cream mixture. Bake in the oven for about 15 minutes, until the crust is golden brown. Remove from the oven and let them cool before serving."
Vegan Baba de Camelo,"sweetened condensed coconut milk, aquafaba, coconut sugar, water",Vegan,All regions,"In a bowl, mix the sweetened condensed coconut milk with the aquafaba. In another bowl, beat the aquafaba until stiff peaks form. Gradually add the coconut sugar while beating. Fold the aquafaba into the condensed coconut milk mixture. Pour the mixture into a cake pan and cover with foil. Place the pan in a larger pan and add water to the larger pan, until it reaches halfway up the sides of the smaller pan. Bake in the oven at 180°C for about 45 minutes. Remove from the oven and let it cool. Serve chilled. "
Baba de Camelo,"sweetened condensed milk, eggs, sugar, water ","lactose ",All regions,"In a bowl, mix the condensed milk with the egg yolks. In another bowl, beat the egg whites until stiff peaks form. Gradually add the sugar while beating. Fold the egg whites into the condensed milk mixture. Pour the mixture into a cake pan and cover with foil. Place the pan in a larger pan and add water to the larger pan, until it reaches halfway up the sides of the smaller pan. Bake in the oven at 180°C for about 45 minutes. Remove from the oven and let it cool. Serve chilled."
Baba de Camelo Version,"sweetened condensed milk, eggs, milk, sugar, cornstarch","This recipe can be garnished with shaved chocolate or coconut flakes. ",All regions,"Mix all the ingredients in a blender until smooth. Pour the mixture into a pot and cook over medium heat, stirring constantly until it thickens. Remove from heat and pour into a serving dish. Chill in the refrigerator for a few hours before serving."
Baba de Camelo Version,"sweetened condensed milk, eggs, milk, sugar, lemon zest ",This recipe is perfect for those who enjoy a tangy flavor in their desserts.,All regions,"Whisk together the condensed milk, eggs, milk, sugar, and lemon zest in a pot. Cook the mixture over medium heat, stirring constantly until it thickens. Pour the mixture into a serving dish and chill in the refrigerator for a few hours before serving."
Baba de Camelo Version,"sweetened condensed milk, eggs, milk, sugar, coconut flakes","This recipe is perfect for those who love coconut flavor in their desserts. ",All regions,"Combine the condensed milk, eggs, milk, sugar, and coconut flakes in a blender and blend until smooth. Pour the mixture into a pot and cook over medium heat, stirring constantly until it thickens. Pour the mixture into a serving dish and chill in the refrigerator for a few hours before serving."
Aletria with Almonds,"aletria, almond milk, sugar, cinnamon stick,toasted almonds, lemon","Vegan ",All regions,"Cook the aletria in boiling water for about 5 minutes, then drain and rinse it with cold water. In a pot, heat the almond milk with the cinnamon stick, lemon peel and sugar. Once it starts boiling, add the aletria and let it cook until it thickens, stirring occasionally. Remove the cinnamon stick and lemon peel, and transfer the aletria to a serving dish. Sprinkle with toasted almonds before serving."
"Aletria with Coconut Milk ","aletria, coconut milk, sugar, cinnamon stick, vanilla pod, coconut ",Vegan,All regions,"Cook the aletria in boiling water for about 5 minutes, then drain and rinse it with cold water. In a pot, heat the coconut milk with the cinnamon stick, vanilla pod and sugar. Once it starts boiling, add the aletria and let it cook until it thickens, stirring occasionally. Remove the cinnamon stick and vanilla pod, and transfer the aletria to a serving dish. Sprinkle with shredded coconut before serving."
Aletria with Orange,"aletria, milk, sugar, cinnamon stick, orange, butter ",lactose,All regions,"Cook the aletria in boiling water for about 5 minutes, then drain and rinse it with cold water. In a pot, heat the milk with the cinnamon stick, orange zest and sugar. Once it starts boiling, add the aletria and let it cook until it thickens, stirring occasionally. Remove the cinnamon stick and orange zest, and stir in the butter until it melts. Transfer the aletria to a serving dish and let it cool. Cut the orange into small pieces and sprinkle over the top before serving."
Aletria with Pumpkin,"aletria, pumpkin, milk, sugar, cinnamon stick, lemon ","lactose ",All regions,"Peel and chop the pumpkin into small pieces. Cook it in boiling water for about 10 minutes, then drain and mash it. In a pot, heat the milk with the cinnamon stick, lemon peel and sugar. Once it starts boiling, add the aletria and let it cook until it thickens, stirring occasionally. Remove the cinnamon stick and lemon peel, and stir in the mashed pumpkin. Transfer the aletria to a serving dish and let it cool. "
Aletria with Chocolate,"aletria, milk, sugar, cinnamon stick, dark chocolate, chocolate ",lactose,All regions,"Cook the aletria in boiling water for about 5 minutes, then drain and rinse it with cold water. In a pot, heat the milk with the cinnamon stick and sugar. Once it starts boiling, add the aletria and let it cook until it thickens, stirring occasionally. Remove the cinnamon stick and stir in the dark chocolate until it melts. Transfer the aletria to a serving dish and sprinkle with chocolate chips before serving. "
Bolinhos de Bacalhau,"cod, 1kg of potatoes, eggs, onion, garlic, parsley, salt, black pepper, olive oil","Gluten-free ",All regions,"Boil the cod and potatoes separately until they are soft. Drain and mash them together. Add the chopped onion, minced garlic, beaten eggs, parsley, salt, and pepper. Mix well. Shape the mixture into small balls and fry them in hot olive oil until golden brown."
Bolinhos de Bacalhau,"cod, potatoes, egg, onion, garlic, breadcrumbs, salt, black pepper, olive oil","gluten ",All regions,"Boil the cod and potatoes together until they are soft. Drain and mash them together. Add the chopped onion, minced garlic, beaten egg, breadcrumbs, salt, and pepper. Mix well. Shape the mixture into small balls and fry them in hot olive oil until golden brown. "
Bolinhos de Bacalhau,"cod, potatoes, eggs, onion, garlic, flour, salt, black pepper, olive oil ","gluten ",All regions,"Boil the cod and potatoes together until they are soft. Drain and mash them together. Add the chopped onion, minced garlic, beaten eggs, flour, salt, and pepper. Mix well. Shape the mixture into small balls and fry them in hot olive oil until golden brown."
Bolinhos de Bacalhau,"cod, potatoes, eggs, onion, garlic, cornmeal, salt, black pepper, olive oil","Gluten-free ",All regions,"Boil the cod and potatoes together until they are soft. Drain and mash them together. Add the chopped onion, minced garlic, beaten eggs, cornmeal, salt, and pepper. Mix well. Shape the mixture into small balls and fry them in hot olive oil until golden brown."
Bolinhos de Bacalhau,"cod, potatoes, eggs, onion, garlic, semolina, salt, black pepper, olive oil","gluten ",All regions,"Boil the cod and potatoes together until they are soft. Drain and mash them together. Add the chopped onion, minced garlic, beaten eggs, semolina, salt, and pepper. Mix well. Shape the mixture into small balls and fry them in hot olive oil until golden brown."
Bacalhau com Natas,"salt cod, onion, garlic, leaves, potatoes, milk, cream, butter, olive oil, salt, pepper, nutmeg, parsley",lactose,All regions,"Soak the salt cod in cold water for 2hours, changing the water 3 to times. Boil the cod for 5 minutes and remove any skin and bones. Peel and cut the potatoes into thin slices. In a pan, sauté the chopped onion and garlic in olive oil and butter. Add the bay leaves and milk, and let it boil for 2-3 minutes. Add the potatoes and let it cook until they are soft. Add the cod, cream, salt, pepper, and nutmeg, and mix well. Preheat the oven to 200°C. Pour the mixture into a baking dish and bake for 20-30 minutes. Garnish with chopped parsley."
Bacalhau com Natas,"salt cod, onion, garlic, leaves, potatoes, milk, cream, olive oil, butter, salt, pepper, nutmeg, parsley",lactose,All regions,"Soak the salt cod in cold water for 2hours, changing the water 3 to times. Boil the cod for 5 minutes and remove any skin and bones. Peel and cut the potatoes into small cubes. In a pan, sauté the chopped onion and garlic in olive oil and butter. Add the bay leaves and milk, and let it boil for 2-3 minutes. Add the potatoes and let it cook until they are soft. Add the cod, cream, salt, pepper, and nutmeg, and mix well. Preheat the oven to 200°C. Pour the mixture into a baking dish and bake for 20-30 minutes. Garnish with chopped parsley. "
Bacalhau com Natas,"salt cod, onion, garlic, leaves, potatoes, milk, cheese, eggs, olive oil, salt, pepper, nutmeg, parsley",lactose,All regions,"Soak the salt cod in cold water for 2hours, changing the water 3 to times. Boil the cod for 5 minutes and remove any skin and bones. Peel and cut the potatoes into thin slices. In a pan, sauté the chopped onion and garlic in olive oil. Add the bay leaves and milk, and let it boil for 2-3 minutes. Add the potatoes and let it cook until they are soft. Add the cod, grated cheese, eggs, salt, pepper, and nutmeg, and mix well. Preheat the oven to 200°C. Pour the mixture into a baking dish and bake for 20-30 minutes. Garnish with chopped parsley. "
Francesinha,"bread, steak, linguiça , sausage, ham, cheese, egg, fries, olive oil, garlic, leaves, paprika, cornstarch, tomato sauce, beer","cholesterol , blood pressure ",Porto,"In a pan, sauté the garlic with olive oil and bay leaves. Add the paprika, tomato sauce and beer, and let it cook for about 15 minutes. In another pan, cook the beef steak, sausages and ham. Place the slices of bread on a dish, and then add the steak, followed by the ham and sausages. Add the cheese on top, and put the dish in the oven until the cheese melts. In the same pan used to cook the meat, fry an egg. Put the egg on top of the sandwich and cover it with the tomato sauce. Mix the cornstarch with a little bit of water and add it to the tomato sauce, to thicken it. Serve with French fries. "
"Francesinha with Portobello Mushrooms ","bread, steak,portobello mushrooms, sausage, ham, cheese, egg, fries, olive oil, garlic, leaves, paprika, cornstarch, tomato sauce, beer","cholesterol , blood pressure",Porto,"In a pan, sauté the garlic with olive oil and bay leaves. Add the paprika, tomato sauce and beer, and let it cook for about 15 minutes. In another pan, cook the beef steak and portobello mushrooms, and sausages and ham in a separate pan. Place the slices of bread on a dish, and then add the steak and portobello mushrooms, followed by the ham and sausages. Add the cheese on top, and put the dish in the oven until the cheese melts. In the same pan used to cook the meat, fry an egg. Put the egg on top of the sandwich and cover it with the tomato sauce. Mix the cornstarch with a little bit of water and add it to the tomato sauce, to thicken it. Serve with French fries. "
Francesinha without Ham,"bread, steak, linguiça, sausage, cheese, egg, fries, olive oil, garlic, leaves, paprika, cornstarch, tomato sauce, beer ","cholesterol , blood pressure ",Porto,"In a pan, sauté the garlic with olive oil and bay leaves. Add the paprika, tomato sauce and beer, and let it cook for about 15 minutes. In another pan, cook the beef steak, sausages in a separate pan. Place the slices of bread on a dish, and then add the steak, followed by the sausages. Add the cheese on top, and put the dish in the oven until the cheese melts. In the same pan used to cook the meat, fry an egg. Put the egg on top of the sandwich and cover it with the tomato sauce. Mix the cornstarch with a little bit of water and add it to the tomato sauce, to thicken it. Serve with French fries."
"Vegan Francesinha ","bread, seitan, large portobello mushroom, red bell pepper, vegan cheese, flax egg, fries, olive oil, garlic, leaves, paprika, cornstarch, tomato sauce, beer","Vegan, cholesterol , blood pressure",Porto,"In a pan, sauté the garlic with olive oil and bay leaves. Add the paprika, tomato sauce and beer, and let it cook for about 15 minutes. In another pan, grill the seitan, portobello mushroom, and red bell pepper. Place the slices of bread on a dish, and then add the grilled seitan, mushroom, and red pepper. Add the vegan cheese on top, and put the dish in the oven until the cheese melts. In the same pan used to grill the vegetables, make a flax egg and fry it. Put the egg on top of the sandwich and cover it with the tomato sauce. Mix the cornstarch with a little bit of water and add it to the tomato sauce, to thicken it. Serve with French fries."
Francesinha seafood,"bread, shrimp, squid, mussels, cheese, egg, fries, olive oil, garlic, leaves, paprika, cornstarch, tomato sauce, white wine ","shellfish allergy ",Porto,"In a pan, sauté the garlic with olive oil and bay leaves. Add the paprika, tomato sauce, and white wine, and let it cook for about 15 minutes. In another pan, cook the seafood (shrimp, squid, and mussels). Place the slices of bread on a dish, and then add the seafood. Add the cheese on top, and put the dish in the oven until the cheese melts. In the same pan used to cook the seafood, fry an egg. Put the egg on top of the sandwich and cover it with the tomato sauce. Mix the cornstarch with a little bit of water and add it to the tomato sauce to thicken it. Serve with French fries. "
Chicken-Free Francesinha,"whole wheat bread, portobello mushroom cap, vegan sausage, vegan cheese,avocado, peppers, onions, zucchini, olive oil, garlic, leaves, paprika, cornstarch, tomato sauce, beer","Vegan, gluten ",Porto,"In a pan, sauté the garlic with olive oil and bay leaves. Add the smoked paprika, tomato sauce and beer, and let it cook for about 15 minutes. In another pan, cook the portobello mushroom cap, vegan sausage, mixed vegetables and avocado. Place the slices of bread on a dish, and then add the portobello mushroom cap, followed by the vegan sausage, mixed vegetables and avocado. Add the vegan cheese on top, and put the dish in the oven until the cheese melts. Mix the cornstarch with a little bit of water and add it to the tomato sauce, to thicken it. Pour the tomato sauce over the sandwich. Serve with a side salad. "
Pastel de Nata com Doce de Leite,"puff pastry, milk, egg yolks, sugar,flour, cinnamon stick, lemon , dulce de leche","gluten ,lactose ",Porto,"Preheat the oven to 220°C. In a pot, mix the milk, sugar, flour, cinnamon stick and lemon peel. Cook over low heat, stirring constantly until the mixture thickens. Remove from heat, let it cool and then add the egg yolks. Roll out the puff pastry and cut it into small circles. Place them in muffin tins, and then add the cream mixture. Add a teaspoon of dulce de leche on top of each one. Bake in the oven for about 15 minutes, until the crust is golden brown. Remove from the oven and let them cool before serving."
Tripas à Moda do Porto,"tripe, pig's ear, pig's foot, pig's tail, chorizo, morcela, onion, garlic, bay leaf, olive oil, butter, water, salt and pepper.","High in protein ",Porto,"Clean the tripe and soak it in cold water for 12 hours. Cut the pig's ear, foot, and tail into pieces. In a pressure cooker, cook the tripe, pig's ear, foot, tail, chorizo, and morcela in water for about 45 minutes. In a separate pan, sauté the chopped onion, garlic, and bay leaf with olive oil and butter until the onion is translucent. Add this mixture to the pressure cooker with the meat, and cook for another 20 minutes. Season with salt and pepper to taste. Serve hot. "
Tripas à Moda do Porto,"tripe, pig's ear, pig's foot, pig's tail, chorizo, morcela, onion, garlic, bay leaf, olive oil, butter, beef broth, salt and pepper.","High in protein ",Porto,"Clean the tripe and soak it in cold water for 12 hours. Cut the pig's ear, foot, and tail into pieces. In a pressure cooker, cook the tripe, pig's ear, foot, tail, chorizo, and morcela in beef broth for about 45 minutes. In a separate pan, sauté the chopped onion, garlic, and bay leaf with olive oil and butter until the onion is translucent. Add this mixture to the pressure cooker with the meat, and cook for another 20 minutes. Season with salt and pepper to taste. Serve hot."
Tripas à Moda do Porto,"tripe, pig's ear, pig's foot, pig's tail, chorizo, morcela, onions, garlic, bay leaf, olive oil, butter, water, salt and pepper.","High in protein ",Porto,"Clean the tripe and soak it in cold water for 12 hours. Cut the pig's ear, foot, and tail into pieces. In a pot, cook the tripe, pig's ear, foot, tail, chorizo, and morcela in water for about 1 hour. In a separate pan, sauté the chopped onions, garlic, and bay leaf with olive oil and butter until the onion is translucent. Add this mixture to the pot with the meat, and cook for another 30 minutes. Season with salt and pepper to taste. Serve hot."
Tripas à Moda do Porto com Feijão Branco,"tripe, white beans, onion, garlic, carrots, leaves, tomato paste, olive oil, salt, black pepper","Gluten-free, dairy-free",Porto,"Soak the beans overnight. In a pot, cook the beans in water with 1 bay leaf until tender. Cut the tripe into small pieces and boil in water for 20 minutes. Drain and set aside. In another pot, sauté the onion, garlic and bay leaf in olive oil. Add the carrots and tomato paste, and cook for a few minutes. Add the tripe and the cooked beans, and cook until the tripe is tender. Season with salt and black pepper."
Tripas à Moda do Porto com Arroz,"tripe, rice, onion, garlic, carrots, leaves, olive oil, salt, black pepper","Gluten-free, dairy-free",Porto,"Cut the tripe into small pieces and boil in water for 20 minutes. Drain and set aside. In another pot, sauté the onion, garlic and bay leaf in olive oil. Add the carrots and cook for a few minutes. Add the tripe and enough water to cover it, and cook until the tripe is tender. Season with salt and black pepper. Cook the rice separately, and serve it with the tripe stew."
Tripas à Moda do Porto com Batatas,"tripe, potatoes, onion, garlic, carrots, leaves, olive oil, salt, black pepper ","Gluten-free, dairy-free",Porto,"Cut the tripe into small pieces and boil in water for 20 minutes. Drain and set aside. In another pot, sauté the onion, garlic and bay leaf in olive oil. Add the carrots and cook for a few minutes. Add the tripe and enough water to cover it, and cook until the tripe is tender. Season with salt and black pepper. Peel and chop the potatoes, and cook them in a separate pot until tender. Serve the tripe stew with the cooked potatoes."
Jardineira Tradicional,"beef chuck, potatoes, carrots, turnip, onion, garlic, olive oil, bay leaf, beef broth, salt, black pepper ","Gluten-free ",Porto,"Cut the beef into small cubes, and peel and chop the vegetables. In a pot, sauté the onion and garlic in olive oil until translucent. Add the beef and brown it. Add the vegetables and bay leaf, and cook for a few minutes. Add the beef broth, season with salt and black pepper, and simmer for about an hour, until the beef and vegetables are tender."
Bacalhau à Braz com Legumes,"salt cod, large potatoes, onion, eggs, olive oil, garlic,chopped parsley,sliced olives, carrots, green beans, peas, salt, black pepper","Gluten-free ",Porto,"Soak the salt cod overnight in water, changing the water several times. Boil the cod in a pot of water until it flakes easily. Flake the cod into small pieces and set aside. Peel and julienne the potatoes and fry them in olive oil until golden brown. Remove the potatoes from the pan and set aside. In the same pan, sauté the sliced onions and garlic until they become translucent. Add the flaked cod and the mixed vegetables, and cook for a few minutes. Beat the eggs and add them to the pan, stirring constantly until they are cooked. Add the parsley and olives, season with salt and black pepper, and serve hot."
Cozido Portuguesa com Feijão Branco,"beef ribs, pork belly, chicken, chorizo , black pudding sausage, onion, garlic, carrot, turnip, cabbage, white beans, leaves, salt, pepper, water ","A hearty ,filling dish, ideal for cold days",North region,"In a large pot, add the beef ribs, pork belly, chicken, chorizo and black pudding, and cover with water. Bring to a boil and let it cook for 30 minutes. Add the onion, garlic, carrot, turnip and bay leaves, and let it cook for another 30 minutes. Add the white beans and cabbage, and let it cook for another 30 minutes, or until everything is cooked through. Season with salt and pepper to taste."
Cozido Portuguesa com Grão,"beef ribs, pork belly, chicken, chorizo , black pudding sausage, onion, garlic, carrot, turnip, cabbage, chickpeas, leaves, salt, pepper, water ","A filling ,nutritious dish, perfect for a cold winter day ",North region,"In a large pot, add the beef ribs, pork belly, chicken, chorizo and black pudding, and cover with water. Bring to a boil and let it cook for 30 minutes. Add the onion, garlic, carrot, turnip and bay leaves, and let it cook for another 30 minutes. Add the chickpeas and cabbage, and let it cook for another 30 minutes, or until everything is cooked through. Season with salt and pepper to taste."
Cozido Portuguesa com Couve,"beef ribs, pork belly, chicken, chorizo , black pudding sausage, onion, garlic, carrot, turnip, cabbage, leaves, salt, pepper, water","A classic ,traditional Portuguese dish, perfect for a family meal ",North region,"In a large pot, add the beef ribs, pork belly, chicken, chorizo and black pudding, and cover with water. Bring to a boil and let it cook for 30 minutes. Add the onion, garlic, carrot, turnip and bay leaves, and let it cook for another 30 minutes. Add the cabbage, and let it cook for another 30 minutes, or until everything is cooked through. Season with salt and pepper to taste. "
Cozido Portuguesa com Batata,"beef ribs, pork belly, chicken, chorizo , black pudding sausage, onion, garlic, carrot, turnip, cabbage, potatoes, leaves, salt, pepper, water","A classic ,traditional Portuguese dish, perfect for a family meal",North region,"In a large pot, add the beef ribs, pork belly, chicken, chorizo and black pudding, and cover with water. Bring to a boil and let it cook for 30 minutes. Add the onion, garlic, carrot, turnip and bay leaves, and let it cook for another 30 minutes. Add the potatoes and cabbage, and let it cook for another 30 minutes, or until everything is cooked through. Season with salt and pepper to taste. "
Arroz de Cabidela com Coelho,"rabbit, onions, garlic, olive oil, bay leaf, tomato, carolino rice, liter of water, tablespoon of salt,white wine vinegar","alcohol ",Minho,"In a pot, sauté the onion, garlic and bay leaf with olive oil. Peel and chop the tomato, and add it to the pot. Let it cook until the tomato is soft. Add the rabbit pieces and 1 tablespoon of salt. Cover the pot and let it cook for about 20 minutes on medium heat. Add enough water to cover the rabbit and let it cook until the meat is tender. Remove the rabbit pieces from the pot and set them aside. Add the rice to the pot and stir it. Let it cook for about 15 minutes. Return the rabbit to the pot, add the vinegar and stir. Let it cook for 5 more minutes. Serve hot."
"Arroz de Cabidela com Galinha Caipira ","chicken, onions, of garlic, olive oil, bay leaf, tomato, carolino rice, liter of water, tablespoon of salt, tablespoons of red wine vinegar",alcohol,Minho,"In a pot, sauté the onion, garlic and bay leaf with olive oil. Peel and chop the tomato, and add it to the pot. Let it cook until the tomato is soft. Add the chicken pieces and 1 tablespoon of salt. Cover the pot and let it cook for about 30 minutes on medium heat. Add enough water to cover the chicken and let it cook until the meat is tender. Remove the chicken pieces from the pot and set them aside. Add the rice to the pot and stir it. Let it cook for about 15 minutes. Return the chicken to the pot, add the vinegar and stir. Let it cook for 5 more minutes. Serve hot."
Caldo Verde,"potatoes, onion, garlic, kale, chorizo, olive oil, salt, water ","Gluten-free, dairy-free ",Minho,"Peel and slice the potatoes, onion, and garlic. In a pot, sauté the onion and garlic in olive oil until they are golden brown. Add the potatoes and water (enough to cover the potatoes) and cook until the potatoes are soft. Using a blender, blend the potatoes and water until smooth. In a separate pot, cook the kale until it's tender. Slice the chouriço and add it to the pot. Add the blended potato and water mixture to the pot with the kale and chouriço. Bring the mixture to a boil, and then let it simmer for 5-10 minutes. Serve hot with a drizzle of olive oil on top."
Caldo Verde Tradicional,"potatoes, kale, onion, garlic, chorizo, olive oil, cups of water, salt, black pepper ","Gluten-free, dairy-free ",Minho,"Peel and chop the potatoes, and slice the onion and garlic. In a pot, sauté the onion and garlic in olive oil until translucent. Add the water and potatoes, and cook until the potatoes are tender. Mash the potatoes and add the sliced kale. Cook until the kale is soft. Season with salt and black pepper. Slice the chorizo and serve it on top of the soup. "
Caldo Verde com Linguiça,"potatoes, kale, onion, garlic, linguiças, olive oil, cups of water, salt, black pepper","Gluten-free, dairy-free ",Minho,"Peel and chop the potatoes, and slice the onion and garlic. In a pot, sauté the onion and garlic in olive oil until translucent. Add the water and potatoes, and cook until the potatoes are tender. Mash the potatoes and add the sliced kale. Cook until the kale is soft. Season with salt and black pepper. Slice the linguiça and serve it on top of the soup. "
"Caldo Verde com Bacon ","potatoes, kale, onion, garlic, strips of bacon, olive oil, cups of water, salt, black peppe","Gluten-free, dairy-free",Minho,"Peel and chop the potatoes, and slice the onion and garlic. In a pot, sauté the onion and garlic in olive oil until translucent. Add the water and potatoes, and cook until the potatoes are tender. Mash the potatoes and add the sliced kale. Cook until the kale is soft. Season with salt and black pepper. Fry the bacon until crispy, and serve it on top of the soup."
Caldo Verde com Chouriço,"potatoes, kale, onion, garlic, chorizo, olive oil, cups of water, salt, black pepper ","Gluten-free, dairy-free ",Minho,"Peel and chop the potatoes, and slice the onion and garlic. In a pot, sauté the onion and garlic in olive oil until translucent. Add the water and potatoes, and cook until the potatoes are tender. Mash the potatoes and add the sliced kale. Cook until the kale is soft. Season with salt and black pepper. Slice the chouriço and serve it on top of the soup."
Jardineira de Frango,"chicken breast, potatoes, carrots, turnip, onion, garlic, olive oil, bay leaf, chicken broth, salt, black pepper","Gluten-free ",Minho,"Cut the chicken into small cubes, and peel and chop the vegetables. In a pot, sauté the onion and garlic in olive oil until translucent. Add the chicken and brown it. Add the vegetables and bay leaf, and cook for a few minutes. Add the chicken broth, season with salt and black pepper, and simmer for about 30 minutes, until the chicken and vegetables are tender."
Pastel de Nata,"puff pastry, milk, egg yolks, sugar,flour, cinnamon stick, lemon ","gluten ,lactose ",Lisbon,"Preheat the oven to 220°C. In a pot, mix the milk, sugar, flour, cinnamon stick and lemon peel. Cook over low heat, stirring constantly until the mixture thickens. Remove from heat, let it cool and then add the egg yolks. Roll out the puff pastry and cut it into small circles. Place them in muffin tins, and then add the cream mixture. Bake in the oven for about 15 minutes, until the crust is golden brown. Remove from the oven and let them cool before serving."
"Vegetarian Pastel de Nata ","puff pastry, soy milk, egg yolks, brown sugar,cornstarch, cinnamon stick, lemon","Vegetarian, gluten",Lisbon,"Preheat the oven to 220°C. In a pot, mix the soy milk, brown sugar, cornstarch, cinnamon stick and lemon peel. Cook over low heat, stirring constantly until the mixture thickens. Remove from heat, let it cool and then add the egg yolks. Roll out the puff pastry and cut it into small circles. Place them in muffin tins, and then add the cream mixture. Bake in the oven for about 15 minutes, until the crust is golden brown. Remove from the oven and let them cool before serving. "
"Pastel de Nata com Creme de Avelã ","puff pastry, milk, egg yolks, sugar,flour, cinnamon stick, lemon , hazelnu","gluten ,lactose ",Lisbon,"Preheat the oven to 220°C. In a pot, mix the milk, sugar, flour, cinnamon stick and lemon peel. Cook over low heat, stirring constantly until the mixture thickens. Remove from heat, let it cool and then add the egg yolks. Roll out the puff pastry and cut it into small circles. Place them in muffin tins, and then add the cream mixture. Add a teaspoon of hazelnut spread on top of each one. Bake in the oven for about 15 minutes, until the crust is golden brown. Remove from the oven and let them cool before serving."
Arroz de Cabidela com Pato,"duck, onions, of garlic, olive oil, bay leaf, tomato, carolino rice, liter of water, tablespoon of salt,red wine vinegar",alcohol,Lisbon,"In a pot, sauté the onion, garlic and bay leaf with olive oil. Peel and chop the tomato, and add it to the pot. Let it cook until the tomato is soft. Add the duck pieces and 1 tablespoon of salt. Cover the pot and let it cook for about 30 minutes on medium heat. Add enough water to cover the duck and let it cook until the meat is tender. Remove the duck pieces from the pot and set them aside. Add the rice to the pot and stir it. Let it cook for about 15 minutes. Return the duck to the pot, add the vinegar and stir. Let it cook for 5 more minutes. Serve hot."
Bacalhau com Natas,"salt cod, large potatoes, onions, garlic, heavy cream, olive oil, white wine, salt, black pepper, nutmeg ","lactose ",Lisbon,"Soak the salt cod overnight in water, changing the water several times. Boil the cod in a pot of water until it flakes easily. Flake the cod into small pieces and set aside. Peel and slice the potatoes and boil them in salted water until they are tender. In a pan, sauté the sliced onions and garlic in olive oil until they become translucent. Add the flaked cod to the pan and cook for a few minutes. Add the white wine and let it cook for a minute. Add the heavy cream, season with salt, black pepper and nutmeg, and let it cook for 5 minutes. Add the boiled potatoes to the pan and stir everything together. Serve hot. "
Bacalhau à Braz,"salt cod, large potatoes, onion, eggs, olive oil, garlic,chopped parsley,sliced olives, salt, black pepper","Gluten-free ",Lisbon,"Soak the salt cod overnight in water, changing the water several times. Boil the cod in a pot of water until it flakes easily. Flake the cod into small pieces and set aside. Peel and julienne the potatoes and fry them in olive oil until golden brown. Remove the potatoes from the pan and set aside. In the same pan, sauté the sliced onions and garlic until they become translucent. Add the flaked cod and the fried potatoes, and cook for a few minutes. Beat the eggs and add them to the pan, stirring constantly until they are cooked. Add the parsley and olives, season with salt and black pepper, and serve hot."
Bacalhau à Braz com Pimentos,"salt cod, large potatoes, onion, eggs, olive oil, garlic,chopped parsley,sliced olives, bell peppers, salt, black pepper","Gluten-free ",Lisbon,"Soak the salt cod overnight in water, changing the water several times. Boil the cod in a pot of water until it flakes easily. Flake the cod into small pieces and set aside. Peel and julienne the potatoes and fry them in olive oil until golden brown. Remove the potatoes from the pan and set aside. In the same pan, sauté the sliced onions and garlic until they become translucent. Add the flaked cod and the sliced bell peppers, and cook for a few minutes. Beat the eggs and add them to the pan, stirring constantly until they are cooked. Add the parsley and olives, season with salt and black pepper, and serve hot. "
