title,ingredients,notes,region,recipe
Jardineira com Vinho Tinto,"beef chuck, potatoes, carrots, turnip, onion, garlic, olive oil, bay leaf, red wine, salt, black pepper ","Gluten-free ",Douro,"Cut the beef into small cubes, and peel and chop the vegetables. In a pot, sauté the onion and garlic in olive oil until translucent. Add the beef and brown it. Add the vegetables and bay leaf, and cook for a few minutes. Add the red wine, season with salt and black pepper, and simmer for about an hour, until the beef and vegetables are tender."
Baba de Camelo with vanilla,"sweetened condensed milk, eggs, milk, sugar, cornstarch, vanilla extract ",This recipe is perfect for people with a sweet tooth.,All regions,"In a blender, mix the condensed milk, eggs, milk, sugar, cornstarch and vanilla extract until well combined. Pour the mixture into a pot and cook over medium heat, stirring constantly until it thickens. Remove from heat and pour into a serving dish. Allow to cool, then refrigerate for at least 2 hours before serving. "
Baba de Camelo,"sweetened condensed milk, eggs, milk, sugar, cocoa powder",This recipe is perfect for those who love chocolate desserts.,All regions,"Combine the condensed milk, eggs, milk, sugar, and cocoa powder in a blender and blend until smooth. Pour the mixture into a pot and cook over medium heat, stirring constantly until it thickens. Pour the mixture into a serving dish and chill in the refrigerator for a few hours before serving. "
"Jardineira de Legumes ","potatoes, carrots, turnip, onion, garlic, olive oil, bay leaf, vegetable broth, salt, black pepper","Gluten-free, vegan",All regions,"Peel and chop the vegetables. In a pot, sauté the onion and garlic in olive oil until translucent. Add the vegetables and bay leaf, and cook for a few minutes. Add the vegetable broth, season with salt and black pepper, and simmer for about 30 minutes, until the vegetables are tender."
Jardineira de Porco,"pork shoulder, potatoes, carrots, turnip, onion, garlic, olive oil, bay leaf, pork broth, salt, black pepper","Gluten-free ",Alentejo,"Cut the pork into small cubes, and peel and chop the vegetables. In a pot, sauté the onion and garlic in olive oil until translucent. Add the pork and brown it. Add the vegetables and bay leaf, and cook for a few minutes. Add the pork broth, season with salt and black pepper, and simmer for about an hour, until the pork and vegetables are tender. "
"Arroz de Cabidela ","onion, garlic, olive oil, bay leaf, tomato, chicken, water, salt, carolino rice, vinegar, salad ",,All regions,"In a pot, sauté the onion, garlic and bay leaf with olive oil. Peel and chop the tomatoes, and add them to the pot. Let it cook until the tomatoes are soft. Add the chicken pieces and 1 tbsp of salt. Cover the pot and let it cook for about 10 minutes on medium heat. Add enough water to cover the chicken and let it"
Classic Canja,"water, salt, olive oil, garlic, chicken, pasta",healthy,unkown,"Season chicken with cracked salt and pepper. Add water, salt, olive oil, and garlic to the water and bring to a boil on medium heat. Add chicken thighs and boil until cooked through, approximately 20 to 30 minutes. Remove chicken and remove skin and bones.  Shred chicken into small pieces.  Add pasta to water while shredding chicken and turn to low. Cook pasta until soft, approximately 10 to 15 minutes. Add shredded chicken back to the pot and cook on low for a few more minutes. Remove garlic from soup and serve."
Traditional Bitoque,"beef steaks,garlic, olive oil, butter, salt, pepper,eggs, vegetable oil,French fries, rice",,All regions,"Preheat the oven to 180°C (350°F). Season the beef steaks with salt and pepper and set aside. Crush the garlic cloves and sauté them in a pan with the olive oil and butter. Add the beef steaks to the pan and cook for 3-4 minutes on each side, until browned. Transfer the beef steaks to an ovenproof dish and bake in the oven for 10-15 minutes, depending on how well done you like your steak. In another pan, fry the eggs in the vegetable oil until the whites are set but the yolks are still runny. Serve the beef steaks with a fried egg on top, along with French fries and white rice."
Bitoque with mushroom sauce,"beef steaks,olive oil, Salt, pepper, onion, garlic, mushrooms, butter, flour, beef broth, Worcestershire sauce, eggs, French fries, rice",,All regions,"Season the beef steaks with salt and pepper and set aside. In a pan, heat the olive oil over medium heat and cook the steaks for 3-4 minutes on each side, until browned. Transfer the steaks to a plate and set aside. In the same pan, sauté the onion and garlic until soft. Add the mushrooms and cook for 5 minutes, until browned and tender. Add the butter to the pan and let it melt. Then, add the flour and stir well. Slowly add the beef broth to the pan, stirring constantly to avoid lumps. Add the Worcestershire sauce and let the sauce simmer for 5 minutes. Return the beef steaks to the pan and cook for 2-3 minutes in the mushroom sauce. In another pan, fry the eggs until the whites are set but the yolks are still runny. Serve the beef steaks with a fried egg on top, along with French fries and white rice. Drizzle the mushroom sauce over the steaks and enjoy!"
broad beans with spare ribs,"pork ribs, fava beans, onions, garlic, olive oil, bay leaves, sweet paprika, Salt, pepper,Water",,"Almeirim ,Serra da Estrela","In a large pot, heat the olive oil and sauté the onions and garlic until they become translucent. Add the pork ribs to the pot and cook until they are browned on all sides. Add the bay leaves, sweet paprika, salt, and pepper, and stir well. Add enough water to cover the pork ribs, and bring to a boil. Reduce the heat to low and let it simmer for about 30 minutes. Add the fava beans to the pot and stir well. If using fresh fava beans, remove the outer shell before adding to the pot. Add more water to cover the fava beans and pork ribs, and let it simmer for about 40-50 minutes, or until the beans are tender and the pork ribs are fully cooked. Adjust the seasoning if necessary and serve hot."
broad beans and Pork Rib Stew with Tomato,"pork ribs, fava beans, onions, garlic, olive oil, tomatoes, bay leaves, sweet paprika, Salt, pepper,Water",,"Almeirim,Serra da Estrela","In a large pot, heat the olive oil and sauté the onions and garlic until they become translucent. Add the pork ribs to the pot and cook until they are browned on all sides. Add the bay leaves, salt, and pepper, and stir well. Add the chopped tomatoes to the pot and stir well. Let it cook for a few minutes until the tomatoes have softened. Add the fava beans to the pot and stir well. If using fresh fava beans, remove the outer shell before adding to the pot. Add enough water to cover the fava beans and pork ribs, and bring to a boil. Reduce the heat to low and let it simmer for about 40-50 minutes, or until the beans are tender and the pork ribs are fully cooked. Adjust the seasoning if necessary and serve hot."
Feijoada à Transmontana,"white beans,smoked pork belly,salted pork,smoked sausage, onion,  garlic, bay leaves,Salt , pepper",,Trás-os-Montes,"In a large pot, cook the smoked pork belly and salted pork over medium heat until they're browned. Remove and set aside. In the same pot, sauté the onion and garlic until they're softened. Add the smoked sausage and brown for a few minutes. Add the soaked white beans to the pot and enough water to cover the ingredients. Bring to a boil, then reduce the heat to low and let it simmer for 2-3 hours, or until the beans are tender. Add the smoked pork belly, salted pork, and bay leaves to the pot, and stir. Season with salt and pepper to taste. Serve the feijoada à transmontana with boiled potatoes, Portuguese-style collard greens, and a glass of red wine."
Feijoada à Alentejana,"red kidney beans, pork ribs, chorizo, onion, garlic, bay leaf, tomato ,Salt , pepper ,Olive oil",,Alentejo,"In a large pot, heat some olive oil and fry the chopped onion and minced garlic until translucent. Add the pork ribs and fry until browned. Add the sliced chorizo, soaked red kidney beans, bay leaf, tomato paste, salt, and pepper, and enough water to cover the ingredients. Bring to a boil, reduce the heat to low, cover the pot, and let it simmer for about 2-3 hours, or until the beans and meat are tender. Adjust the seasoning, if necessary, and serve hot with boiled potatoes, and a glass of red wine."
Feijoada à Portuguesa,"white beans, beef,sausagem, onion, garlic,bay leaf, tomato ,Salt , pepper,Olive oil",,All regions,"In a large pot, heat some olive oil and fry the chopped onion and minced garlic until golden. Add the beef chuck and fry until browned. Add the sliced Portuguese sausage, soaked white beans, bay leaf, tomato paste, salt, and pepper, and enough water to cover the ingredients. Bring to a boil, reduce the heat to low, cover the pot, and let it simmer for about 2-3 hours, or until the beans and meat are tender. Adjust the seasoning, if necessary, and serve hot with rice, and a glass of red wine."
Traditional Prego Sandwich,"Portuguese rolls,beef steaks,garlic,smoked paprika,olive oil,Salt , pepper ,Butter, tomatoes , lettuce",,Sintra,"Season the beef steaks with garlic, smoked paprika, olive oil, salt, and pepper. Heat a large skillet over medium-high heat and cook the beef steaks for about 2-3 minutes on each side, or until cooked to your liking. Cut the Portuguese rolls in half and spread butter or mayonnaise on the bottom halves. Top each roll with a beef steak, sliced tomatoes, and lettuce. Cover with the top halves of the rolls and serve."
Prego Steak with Garlic Butter,"beef steaks,garlic,butter,olive oil,Salt , pepper,French fries , salad",,Sintra,"Season the beef steaks with salt and pepper. Heat a large skillet over high heat and add the olive oil. Cook the beef steaks for about 3-4 minutes on each side, or until cooked to your liking. Remove the steaks from the skillet and set aside. In the same skillet, reduce the heat to medium-low and add the butter and minced garlic. Cook for 1-2 minutes, stirring occasionally, until the garlic is fragrant and the butter is melted. Pour the garlic butter over the steaks and serve with French fries or a salad."
Prego Burger,"burger buns,beef,smoked paprika,garlic powder,Salt , pepper ,cheddar cheese,mayonnaise,ketchup, tomatoes , lettuce",,Sintra,"In a mixing bowl, combine the ground beef with smoked paprika, garlic powder, salt, and pepper. Mix the ingredients together until they are well combined. Form the beef mixture into 4 equal-sized patties. Heat a large skillet over medium-high heat and cook the patties for 3-4 minutes on each side, or until cooked to your liking. In the meantime, mix together the mayonnaise and ketchup in a small bowl to make a sauce. Toast the burger buns in a toaster or under the broiler. Spread the sauce on the bottom halves of the burger buns. Top each bun with a beef patty, a slice of cheddar cheese, sliced tomatoes, and lettuce. Cover with the top halves of the buns and serve."
Prego Steak with Fried Egg,"beef steaks,garlic,olive oil,Salt , pepper , eggs,butter,French fries , salad",,Sintra,"Season the beef steaks with salt and pepper. Heat a large skillet over high heat and add the olive oil. Cook the beef steaks for about 3-4 minutes on each side, or until cooked to your liking. Remove the steaks from the skillet and set aside. In the same skillet, reduce the heat to medium-low and add the butter and minced garlic. Cook for 1-2 minutes, stirring occasionally, until the garlic is fragrant and the butter is melted. In a separate skillet, fry the eggs to your desired level of doneness. To serve, place a beef steak on each plate, top with a fried egg, and pour the garlic butter over the top. Serve with French fries or a salad."
Traditional Bifana Sandwich,"Portuguese rolls,pork cutlets, garlic, white wine,olive oil,Salt , pepper ,Sliced tomatoes , lettuce ",,Alentejo,"Season the pork cutlets with garlic, salt, and pepper. Heat the olive oil in a large skillet over medium-high heat. Cook the pork cutlets for about 2-3 minutes on each side, or until cooked through. Remove the pork cutlets from the skillet and set aside. Add the minced garlic to the skillet and cook for about 1 minute, stirring constantly. Pour in the white wine and cook for another minute, stirring constantly. Slice the Portuguese rolls in half and place a pork cutlet on each bottom half. Top each pork cutlet with the garlic-wine sauce, sliced tomatoes, and lettuce. Cover with the top halves of the rolls and serve."
Bifana with Spicy Sauce,"pork cutlets,garlic,hot sauce, olive oil,Salt , pepper ,French fries , salad",,Alentejo,"Season the pork cutlets with garlic, salt, and pepper. Heat the olive oil in a large skillet over medium-high heat. Cook the pork cutlets for about 2-3 minutes on each side, or until cooked through. Remove the pork cutlets from the skillet and set aside. In a small bowl, mix together the hot sauce and minced garlic. Spread the hot sauce mixture on top of each pork cutlet. Serve with French fries or a salad."
Bifana Stew,"pork tenderloin,garlic,onion,red bell pepper,olive oil,white wine,tomato sauce,paprika,ground cumin,Salt , pepper ,parsley",,Alentejo,"Season the pork tenderloin with salt and pepper. Heat the olive oil in a large skillet over medium-high heat. Add the pork tenderloin and cook for about 3-4 minutes, stirring occasionally, until browned. Remove the pork tenderloin from the skillet and set aside. Add the minced garlic, chopped onion, and chopped red bell pepper to the skillet. Cook for about 5 minutes, stirring occasionally, until the vegetables are soft. Add the white wine, tomato sauce, paprika, cumin, and a pinch of salt and pepper to the skillet. Stir the ingredients together and bring to a simmer. Add the pork tenderloin back to the skillet and cook for another 10-15 minutes, stirring occasionally, until the pork is cooked through. Serve the bifana stew hot, garnished with chopped fresh parsley."
Jardineira with Beef,"beeft, onion,garlic,carrots,potatoes,green beans,white beans,beef broth,bay leaf,Salt , pepper",,Ribatejo,"Heat a large pot over medium-high heat. Add the beef and cook until browned on all sides. Add the onion and garlic to the pot and sauté until softened. Add the carrots, potatoes, green beans, white beans, beef broth, and bay leaf to the pot. Bring to a boil, then reduce the heat and let simmer for 45 minutes to 1 hour, or until the vegetables are tender and the meat is cooked through. Season with salt and pepper to taste before serving."
Vegan Jardineira,"onion,garlic,carrots,potatoes,green beans,kidney beans,vegetable broth,bay leaf,Salt , pepper ",vegan,Ribatejo,"Heat a large pot over medium-high heat. Add the onion and garlic and sauté until softened. Add the carrots, potatoes, green beans, kidney beans, vegetable broth, and bay leaf to the pot. Bring to a boil, then reduce the heat and let simmer for 45 minutes to 1 hour, or until the vegetables are tender. Season with salt and pepper to taste before serving."
Jardineira with Pork,"pork,onion,garlic, carrots, potatoes,green beans,white beans,chicken broth,bay leaf,Salt , pepper ",,Ribatejo,"Heat a large pot over medium-high heat. Add the pork and cook until browned on all sides. Add the onion and garlic to the pot and sauté until softened. Add the carrots, potatoes, green beans, white beans, chicken broth, and bay leaf to the pot. Bring to a boil, then reduce the heat and let simmer for 45 minutes to 1 hour, or until the vegetables are tender and the meat is cooked through. Season with salt and pepper to taste before serving."
Jardineira with Codfish,"codfish,onion,garlic,carrots,potatoes,green beans,white beans,fish stock,bay leaf,Salt , pepper",,Ribatejo,"Heat a large pot over medium-high heat. Add the onion and garlic and sauté until softened. Add the carrots, potatoes, green beans, white beans, fish stock, and bay leaf to the pot. Bring to a boil, then reduce the heat and let simmer for 20-25 minutes, or until the vegetables are tender. Add the codfish to the pot and let simmer for an additional 10-12 minutes, or until the fish is cooked through and flakes easily with a fork. Season with salt and pepper to taste before serving."
Chicken Jardineira,"chicken,onion,garlic ,carrots,potatoes,green beans,chickpeas,chicken broth,bay leaf,paprika,Salt , pepper",,Ribatejo,"Heat a large pot over medium-high heat. Add the chicken and cook until browned on all sides. Add the onion and garlic to the pot and sauté until softened. Add the carrots, potatoes, green beans, chickpeas, chicken broth, bay leaf, and paprika to the pot. Bring to a boil, then reduce the heat and let simmer for 45 minutes to 1 hour, or until the vegetables are tender and the chicken is cooked through. Season with salt and pepper to taste before serving."
Cozido à Portuguesa,"500g beef brisket, 500g pork ribs, 500g chicken legs or thighs, 1 chorizo sausage, 1 black pudding sausage, 1 cabbage, chopped, 4 carrots, peeled and sliced, 4 potatoes, peeled and chopped, 2 onions, peeled and chopped, 2 garlic cloves, minced, 1 bay leaf, Salt and black pepper, Water",,Alentejo,"In a large pot, add the beef brisket, pork ribs, chicken legs or thighs, chorizo, black pudding, onions, garlic, bay leaf, and enough water to cover all the ingredients. Bring to a boil, then reduce the heat to low and let it simmer for about 30 minutes. Add the carrots and potatoes to the pot and continue to simmer for another 30 minutes. Finally, add the chopped cabbage and let it cook for an additional 10-15 minutes until all the ingredients are tender. Season with salt and black pepper to taste. Serve the Cozido à Portuguesa hot with a side of boiled rice or mashed potatoes."
Cozido à Portuguesa,"1 beef brisket, cut into large pieces, 1 pork leg, cut into large pieces, 1 chicken, cut into large pieces, 1 chorizo sausage, sliced, 1 black pudding sausage, sliced, 1 cabbage, chopped, 4 carrots, peeled and sliced, 4 potatoes, peeled and chopped, 2 onions, peeled and chopped, 2 garlic cloves, minced, 2 bay leaves, Salt and black pepper, Water",,Alentejo,"In a large pot, add the beef brisket, pork leg, chicken, chorizo, black pudding, onions, garlic, bay leaves, and enough water to cover all the ingredients. Bring to a boil, then reduce the heat to low and let it simmer for about 1 hour. Add the carrots and potatoes to the pot and continue to simmer for another 30 minutes. Finally, add the chopped cabbage and let it cook for an additional 10-15 minutes until all the ingredients are tender. Season with salt and black pepper to taste. Serve the Cozido à Portuguesa hot with a side of boiled rice or mashed potatoes."
Rabanadas,"8 slices of day-old bread, 2 cups of milk, 2 eggs, 1/2 cup of sugar, 1 cinnamon stick, Lemon peel, Oil for frying",,All regions,"In a saucepan, heat the milk with the cinnamon stick and lemon peel until it reaches a boiling point. Remove from the heat and let it cool. In a bowl, beat the eggs with the sugar until it becomes a smooth mixture. Dip the bread slices in the milk mixture until they are soaked. Heat the oil in a pan over medium heat. Dip the soaked bread slices in the egg mixture until they are well coated. Fry the slices in the hot oil until they are golden brown. Drain the excess oil on a paper towel and sprinkle some cinnamon and sugar on top. Serve the Rabanadas warm."
Rabanadas,"8 slices of day-old bread,2 cups of red wine,1/2 cup of sugar,1 cinnamon stick,1 orange peel,Oil for frying",,All regions,"In a saucepan, heat the red wine with the cinnamon stick and orange peel until it reaches a boiling point. Reduce the heat and simmer for 10 minutes. Remove from the heat and let it cool. In a bowl, mix the sugar with 1/2 cup of water and bring to a boil. Reduce the heat and simmer for 5 minutes until the sugar dissolves and the mixture thickens. Dip the bread slices in the red wine mixture until they are soaked. Heat the oil in a pan over medium heat. Fry the slices in the hot oil until they are golden brown. Drain the excess oil on a paper towel and dip each slice in the sugar syrup. Serve the Rabanadas warm or cold."
Duck Rice,"1 duck, cut into pieces, 2 cups of rice, 1 onion, chopped, 3 garlic cloves, minced, 2 bay leaves, 1/2 cup of white wine, 4 cups of chicken broth, 1/2 cup of chopped parsley, Salt and black pepper, Olive oil",,Braga,"Season the duck pieces with salt and black pepper. In a large pot, heat some olive oil over medium heat and brown the duck pieces on all sides. Remove the duck from the pot and set it aside. In the same pot, add the chopped onion, garlic, and bay leaves. Cook until the onion is soft and translucent. Add the white wine and let it simmer for a few minutes until it reduces by half. Add the rice to the pot and stir until it is coated with the onion and garlic mixture. Add the chicken broth to the pot and stir. Bring to a boil, then reduce the heat to low and let it simmer for 10 minutes. Add the duck pieces to the pot and continue to cook until the rice is tender and the duck is cooked through. Remove from heat and sprinkle with chopped parsley. Serve the Arroz de Pato hot."
Duck Rice,"2 duck legs, deboned and shredded, 2 cups of rice, 1 onion, chopped, 3 garlic cloves, minced, 2 bay leaves, 1/2 cup of white wine, 4 cups of duck broth or chicken broth, 1/2 cup of chopped coriander, Salt and black pepper, Olive oil",,Braga,"In a large pot, heat some olive oil over medium heat and sauté the onion, garlic, and bay leaves until the onion is soft and translucent. Add the shredded duck to the pot and stir until it is coated with the onion and garlic mixture. Add the white wine and let it simmer for a few minutes until it reduces by half. Add the rice to the pot and stir until it is coated with the onion and garlic mixture. Add the duck or chicken broth to the pot and stir. Bring to a boil, then reduce the heat to low and let it simmer for 10 minutes. Continue to cook until the rice is tender and the duck is cooked through. Remove from heat and sprinkle with chopped coriander. Serve the Arroz de Pato hot."
Duck Rice,"2 duck breasts, cut into small pieces, 2 cups of rice, 1 onion, chopped, 3 garlic cloves, minced, 2 bay leaves, 1/2 cup of red wine, 4 cups of chicken broth, 1/2 cup of sliced olives, Salt and black pepper, Olive oil",,Braga,"In a large pot, heat some olive oil over medium heat and brown the duck pieces on all sides. Remove the duck from the pot and set it aside. In the same pot, add the chopped onion, garlic, and bay leaves. Cook until the onion is soft and translucent. Add the red wine and let it simmer for a few minutes until it reduces by half. Add the rice to the pot and stir until it is coated with the onion and garlic mixture. Add the chicken broth to the pot and stir. Bring to a boil, then reduce the heat to low and let it simmer"
Rice Muffin,"2 cups of rice flour, 1 cup of sugar, 1/2 cup of butter, at room temperature, 4 eggs, 1/2 cup of milk, 1 teaspoon of baking powder, 1 teaspoon of vanilla extract, Zest of 1 lemon, Pinch of salt",,All regions,"Preheat the oven to 180°C (350°F). In a large mixing bowl, beat the butter and sugar together until light and fluffy. Add the eggs, one at a time, and beat until well combined. Add the milk, vanilla extract, and lemon zest to the mixing bowl and stir until well combined. In a separate bowl, sift the rice flour, baking powder, and salt together. Gradually add the flour mixture to the mixing bowl, stirring until well combined. Grease a cake pan with butter and pour the batter into the pan. Bake the Bolo de Arroz for 30-35 minutes or until a toothpick inserted into the center comes out clean. Remove from the oven and let it cool before serving."
Rice Muffin,"2 cups of cooked rice, 1 cup of sugar, 1/2 cup of butter, at room temperature, 3 eggs, 1/2 cup of milk, 1/2 cup of flour, 1 teaspoon of baking powder, 1 teaspoon of vanilla extract, Zest of 1 lemon, Pinch of salt",,All regions,"Preheat the oven to 180°C (350°F). In a large mixing bowl, beat the butter and sugar together until light and fluffy. Add the eggs, one at a time, and beat until well combined. Add the milk, vanilla extract, and lemon zest to the mixing bowl and stir until well combined. Add the cooked rice to the mixing bowl and stir until well combined. In a separate bowl, sift the flour, baking powder, and salt together. Gradually add the flour mixture to the mixing bowl, stirring until well combined. Grease a cake pan with butter and pour the batter into the pan. Bake the Bolo de Arroz for 30-35 minutes or until a toothpick inserted into the center comes out clean. Remove from the oven and let it cool before serving." 
Sponge Cake,"6 eggs, at room temperature,1 cup of sugar,1 cup of flour,1 teaspoon of vanilla extract,Pinch of salt",,All regions,"Preheat the oven to 180°C (350°F). Grease a cake pan with butter and dust with flour. In a large mixing bowl, beat the eggs and sugar together until light and fluffy. Add the vanilla extract and salt to the mixing bowl and stir until well combined. Gradually add the flour to the mixing bowl, stirring until well combined. Pour the batter into the prepared cake pan. Bake the Pão de Ló for 30-35 minutes or until a toothpick inserted into the center comes out clean. Remove from the oven and let it cool before serving."
Sponge Cake of Alfeizarão,"8 eggs, at room temperature,1 cup of sugar,1 cup of flour,1/4 cup of cornstarch,1 tablespoon of grated lemon zest,1 tablespoon of grated orange zest,1/4 cup of butter, melted and cooled,1 teaspoon of baking powder,Pinch of salt",,Alfeizarão,"Preheat the oven to 180°C (350°F). Grease a cake pan with butter and dust with flour. In a large mixing bowl, beat the eggs and sugar together until light and fluffy. Add the grated lemon zest, grated orange zest, and salt to the mixing bowl and stir until well combined. Sift the flour, cornstarch, and baking powder together in a separate bowl. Gradually add the flour mixture to the mixing bowl, stirring until well combined. Add the melted butter to the mixing bowl and stir until well combined. Pour the batter into the prepared cake pan. Bake the Pão de Ló de Alfeizerão for 30-35 minutes or until a toothpick inserted into the center comes out clean. Remove from the oven and let it cool before serving."
Sponge Cake of Ovar,"12 eggs, at room temperature, 1 1/2 cups of sugar, 1 1/2 cups of flour, 1/2 teaspoon of baking powder, 1/4 cup of butter, melted and cooled, 1/4 cup of port wine, Pinch of salt",,Ovar,"Preheat the oven to 180°C (350°F). Grease a cake pan with butter and dust with flour. In a large mixing bowl, beat the eggs and sugar together until light and fluffy. Sift the flour and baking powder together in a separate bowl. Gradually add the flour mixture to the mixing bowl, stirring until well combined. Add the melted butter, port wine, and salt to the mixing bowl and stir until well combined. Pour the batter into the prepared cake pan. Bake the Pão de Ló de Ovar for 30-35 minutes or until a toothpick inserted into the center comes out clean. Remove from the oven and let it cool before serving." 
Lagareiro Octopus,"1 large octopus (about 1 kg), 6 garlic cloves, thinly sliced, 1/2 cup olive oil, Salt, Fresh parsley, chopped",,All Regions,"Clean the octopus, removing the beak and the eyes, and rinse well. In a large pot, bring water to a boil, add the octopus, and cook for about 40-50 minutes, or until tender. Preheat the oven to 200°C (400°F). Drain the octopus and let it cool. Cut the octopus into small pieces and place them in a baking dish. Add the sliced garlic and drizzle with olive oil. Season with salt and bake in the oven for about 20-25 minutes, or until golden brown. Serve hot, garnished with chopped parsley." 
Lagareiro Octopus,"1 large octopus (about 1 kg), 1/2 cup olive oil, 8 garlic cloves, thinly sliced, 2 bay leaves, Salt and pepper, 4 large potatoes, sliced, Fresh parsley, chopped",,All regions,"Clean the octopus, removing the beak and the eyes, and rinse well. In a large pot, bring water to a boil, add the octopus, bay leaves, and salt, and cook for about 40-50 minutes, or until tender. Preheat the oven to 200°C (400°F). Drain the octopus and cut it into small pieces. In a large skillet, heat the olive oil over medium heat and add the sliced garlic. Cook until the garlic is fragrant, then add the sliced potatoes and cook until golden brown. Add the octopus to the skillet, season with salt and pepper, and stir well. Transfer the mixture to a baking dish and bake in the oven for about 20-25 minutes, or until golden brown. Serve hot, garnished with chopped parsley." 
Açorda,"6 slices of rustic bread, stale, 4 garlic cloves, minced, 1/2 cup olive oil, 4 cups water, 4 eggs, Salt and pepper, Fresh cilantro, chopped",,Alentejo,"In a large pot, bring the water to a boil and add the bread slices. Cook the bread for about 10 minutes, or until it starts to break down. In a separate pan, heat the olive oil over medium heat and add the minced garlic. Cook until fragrant. Add the bread and cooking water to the pan with the garlic and olive oil, and stir well. Crack the eggs over the top of the mixture and stir gently to combine. Season with salt and pepper to taste. Simmer until the eggs are cooked to your liking. Serve hot, garnished with fresh cilantro." 
Açorda with shrimp,"6 slices of rustic bread, stale, 4 garlic cloves, minced, 1/2 cup olive oil, 4 cups water, 1 lb. shrimp, peeled and deveined, 1/2 cup white wine, 1/2 cup chopped parsley, Salt and pepper",,Alentejo,"In a large pot, bring the water to a boil and add the bread slices. Cook the bread for about 10 minutes, or until it starts to break down. In a separate pan, heat the olive oil over medium heat and add the minced garlic. Cook until fragrant. Add the bread and cooking water to the pan with the garlic and olive oil, and stir well. Add the shrimp to the pan and cook for 2-3 minutes. Add the white wine to the pan and continue cooking until the shrimp are fully cooked. Season with salt and pepper to taste. Serve hot, garnished with chopped parsley." 
Rock Soup Alentejana,"1 lb. beans, soaked overnight, 1 lb. potatoes, peeled and cubed, 1 lb. beef, cubed, 1 lb. Portuguese chouriço, sliced, 1 onion, diced, 3 garlic cloves, minced, 2 bay leaves, Salt and pepper, Olive oil, 1 Portuguese chouriço, sliced, for garnish",,Alentejo,"In a large pot, add the soaked beans, beef, chouriço, onion, garlic, bay leaves, and enough water to cover the ingredients. Bring the mixture to a boil, then reduce the heat and simmer until the beans and meat are cooked through. Remove the bay leaves and use an immersion blender to blend the soup until smooth. Add the cubed potatoes to the pot and cook until they are tender. Season with salt and pepper to taste. Serve hot, garnished with sliced chouriço and a drizzle of olive oil." 
Rock Soup,"1 lb. beans, soaked overnight, 1 lb. Portuguese chouriço, sliced, 1 onion, diced, 3 garlic cloves, minced, 2 bay leaves, Salt and pepper, Olive oil, 1 Portuguese chouriço, sliced, for garnish, 1 bunch of fresh coriander, chopped, for garnish",,Almeirim,"In a large pot, add the soaked beans, chouriço, onion, garlic, bay leaves, and enough water to cover the ingredients. Bring the mixture to a boil, then reduce the heat and simmer until the beans are cooked through. Remove the bay leaves and use an immersion blender to blend the soup until smooth. Season with salt and pepper to taste. In a separate pan, sauté the sliced chouriço until crispy. Serve hot, garnished with the crispy chouriço, chopped coriander, and a drizzle of olive oil." 
Traditional Roasted Suckling Pig,"1 suckling pig, about 8 to 10 pounds, 1 tablespoon salt, 1 tablespoon paprika, 2 tablespoons olive oil, 1 lemon, sliced, 1 bunch of fresh herbs (rosemary, thyme, oregano), 1 cup white wine, 1 cup water",,Bairrada,"Preheat the oven to 350°F. Mix the salt, paprika, and olive oil together in a small bowl to make a paste. Rub the paste all over the pig, including the cavity and the skin. Stuff the pig with the lemon slices and fresh herbs. Place the pig on a roasting pan and add the white wine and water to the pan. Roast the pig in the preheated oven for about 2 to 2 1/2 hours, or until the skin is crispy and golden brown and the internal temperature of the pig reaches 145°F. Remove the pig from the oven and let it rest for about 20 minutes before carving." 
Grilled Suckling Pig,"1 suckling pig, about 8 to 10 pounds, 1 tablespoon salt, 1 tablespoon paprika, 2 tablespoons olive oil, 1 lemon, sliced, 1 bunch of fresh herbs (rosemary, thyme, oregano), Charcoal for grilling",,Bairrada,"Preheat a grill to medium-high heat. Mix the salt, paprika, and olive oil together in a small bowl to make a paste. Rub the paste all over the pig, including the cavity and the skin. Stuff the pig with the lemon slices and fresh herbs. Place the pig on the grill, close the lid, and cook for about 2 to 2 1/2 hours, turning occasionally, until the skin is crispy and golden brown and the internal temperature of the pig reaches 145°F. Remove the pig from the grill and let it rest for about 20 minutes before carving." 